BRAND,MODEL,YEAR_FROM,YEAR_TO,MILEAGE_FROM,MILEAGE_TO,PRICE_FROM,PRICE_TO
alfa-romeo,brera,2023,2025,0,100000,0,10000
tesla,model-3,2010,2024,0,20000,0,33000
